% # columns="iteration, evaluation, void, void, void, xmean", seed=943911, Tue Mar 19 00:04:58 2024, <python>{}</python> # scaling_of_variables: 1, typical_x: 0
1 7 0 0 0 4.059762044181672 1.8825816166824727 1.8632614682802022
2 14 0 0 0 5.48199421954028 2.5995198895900953 2.4023500109236107
3 21 0 0 0 7.117221639182888 1.7437790426910764 2.310471325438075
4 28 0 0 0 9.642218583504127 2.233817932448405 2.917131270993131
5 35 0 0 0 12.555040387380648 2.3408237073518925 3.2528882927818366
6 42 0 0 0 16.565528174860646 1.5729029691013057 3.2061842295437972
7 49 0 0 0 22.46481341268012 0.6054321694990504 4.242514934326097
8 56 0 0 0 33.74114069147431 -0.6935431728880678 8.892129821589695
9 63 0 0 0 44.77780670710591 -1.5932120069251379 6.83025862263278
10 70 0 0 0 51.881443678010996 -1.6014837559009023 3.7692436012279247
11 77 0 0 0 85.94242426785476 -0.9713340915198918 -0.9524805098118234
12 84 0 0 0 90.09923544969091 -13.102633878087815 -12.339390782744143
13 91 0 0 0 150.0163142155602 -0.5259889966478948 -13.368581098545416
14 98 0 0 0 180.05734444133708 29.084806610833567 19.520818746543203
15 105 0 0 0 259.54461049616526 -7.013684246415579 -19.96265950003284
16 112 0 0 0 374.5314045783836 -3.532152788524396 -36.476880452935454
17 119 0 0 0 507.228702106203 57.94939307478086 52.578659218801995
18 126 0 0 0 781.43541963603 165.80063773277118 92.86081129605523
19 133 0 0 0 1177.5677917552434 366.2134965750773 176.8357664903898
20 140 0 0 0 1541.7696663426368 54.098231803998544 -47.64915800128256
21 147 0 0 0 1931.2559115984027 320.55039463303274 -0.05894206018840009
22 154 0 0 0 2934.2420096920964 562.1976545119791 49.11010887277086
