% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, further objective values of best", seed=943911, Tue Mar 19 00:04:58 2024, <python>{}</python>
1 7 1.269657439727451 1.0000333338888951 -18.9182052091708 -1.8918205209170800e+01 -5.578714420293788 -0.3751217690608959   
2 14 1.6219485083922576 1.2687315820877854 -34.39756556329853 -3.4397565563298528e+01 -13.75392016349166 -1.4476926788051772   
3 21 1.9937513418953607 1.41592994920739 -54.3323665809855 -5.4332366580985500e+01 -38.62773061710586 -24.12891955332923   
4 28 2.419128132682854 1.827600063677496 -112.5262217211009 -1.1252622172110090e+02 -36.69346494904494 -18.642053420843837   
5 35 2.8120947053332723 2.1668255314611646 -202.3325736864496 -2.0233257368644959e+02 -94.20876109240014 -22.27558757304145   
6 42 3.3774426320976785 2.481778577227654 -304.84802726325876 -3.0484802726325876e+02 -115.34963374696814 -62.228138887613845   
7 49 4.157379978956605 3.352117146861704 -513.2388410339948 -5.1323884103399485e+02 -429.93915750183976 -163.59134847702433   
8 56 6.335478823940028 4.396969262561751 -1363.3022412068344 -1.3633022412068344e+03 -728.3591031531547 -4.2704760878678085   
9 63 7.924470182545658 3.831781200217522 -2194.3777425828303 -2.1943777425828303e+03 -1006.3589711913496 -263.5782697904771   
10 70 9.063396254884195 3.54243945029549 -2978.094819122788 -2.9780948191227881e+03 -1514.266159423138 -202.80685173496732   
11 77 15.400984286570127 3.211946790995962 -8881.649546068618 -8.8816495460686183e+03 -5043.3896295353325 -145.78849176445866   
12 84 20.351624838841335 3.3230918887129715 -8881.649546068618 -8.6345137674857324e+03 -5293.2837065697195 -2258.5966029737824   
13 91 29.25962471491403 3.4190703924343673 -30043.32871457608 -3.0043328714576081e+04 -7408.014987867896 -362.4982297515677   
14 98 37.93543495724556 3.6243425235468334 -41029.90991752253 -4.1029909917522527e+04 -13809.431980371093 -11100.97236566332   
15 105 52.73302443924652 3.3960352649736762 -69660.47476257785 -6.9660474762577855e+04 -30778.544800590516 -4220.5999568335665   
16 112 74.99126711756215 3.338162202119016 -162386.59583336118 -1.6238659583336118e+05 -67215.16205047065 -38689.595134021845   
17 119 108.88751411446647 3.644482356926514 -314975.9594527897 -3.1497595945278968e+05 -147671.61762841052 -33794.446087359334   
18 126 166.5535645684713 3.811850076828365 -671826.4105238115 -6.7182641052381147e+05 -368036.50148630404 -189672.07478318462   
19 133 265.7631163946492 4.232758829695489 -1508106.908814638 -1.5081069088146379e+06 -906099.8239799789 -137960.66721597814   
20 140 357.3938875580749 3.8493575481673847 -2843858.174124876 -2.8438581741248760e+06 -1393334.1380179038 -563739.9819469017   
21 147 406.49245488705617 4.142975698826472 -4273424.40886326 -4.2734244088632604e+06 -1449540.0176465414 -49943.329903956386   
22 154 545.4880387190026 3.6905243394329994 -9061100.264802251 -9.0611002648022510e+06 -4366428.551969893 -1915865.8845678507   
